LoanID,CustomerID,Loan_Amount,Loan_Term_Months,Interest_Rate,EMI,Loan_Purpose,Application_Channel,Age,Gender,Marital_Status,Number_of_Dependents,Education_Level,Employment_Status,Job_Type,Years_Employed,Income_Type,Annual_Income,Monthly_Income,Income_Stability_Score,Credit_Score,Credit_Utilization_Ratio,Number_of_Previous_Loans,Previous_Defaults,Delinquencies,Number_of_Active_Loans,Avg_Days_Past_Due,EMI_to_Income_Ratio,Loan_to_Income_Ratio,Debt_to_Income_Ratio,High_Risk_Flag,Low_Income_Flag,High_Loan_Flag,Default_Status,avg_monthly_spending,spending_to_income_ratio,balance_volatility,rent_payment_ratio,behavioral_risk_score,loan_bin,dti_bin,behavior_bin,customer_segment
232,111044,643138.89,240,7.63,5232.33,Car,Online,39,Male,Married,2,Bachelors,Self-Employed,Manufacturing,13,Business,690547.02,54868.51,71,750,0.11,2,0,0,1,0,0.095,0.931,0.137,0,0,0,0,14993.592173913044,0.2732590864017747,275741.5642565258,0.7916666666666666,0.2599811650174781,High,"(0.013999999999999999, 0.152]",Medium,Low Risk
233,28139,218736.07,72,9.57,4005.0,Personal,Online,25,Female,Widowed,0,High School,Unemployed,Unemployed,0,No Income,126022.42,10331.2,43,724,0.17,3,0,0,0,0,0.388,1.736,0.396,0,1,1,0,558.434,0.0540479278372466,73114.88371922552,0.0,0.7755851869037169,Low,"(0.35, 2.5]",High,Behavioral Risk
234,30832,303178.01,84,9.15,4900.97,Personal,Online,18,Male,Single,0,High School,Employed,Healthcare,0,Salary,647334.41,52552.77,68,681,0.35,1,0,0,0,0,0.093,0.468,0.111,0,0,0,0,2537.208333333333,0.048278331570377,327094.60251179244,0.0,0.5925928391951663,Medium,"(0.013999999999999999, 0.152]",Medium,Low Risk
235,18031,1159464.6,360,6.51,7336.23,Home,Online,48,Female,Married,0,High School,Employed,Education,23,Salary,989452.76,82876.0,100,768,0.3,2,0,0,2,0,0.089,1.172,0.152,0,0,1,1,21609.710416666665,0.2607443611215013,432551.62799439614,0.7916666666666666,0.29805093929143456,Very High,"(0.013999999999999999, 0.152]",Medium,Low Risk
236,75005,495679.83,120,14.18,7749.98,Personal,Agent,29,Female,Married,2,Bachelors,Employed,Services,2,Salary,825465.72,66187.66,49,508,0.69,2,0,0,1,0,0.117,0.6,0.182,1,0,0,0,2857.5964285714285,0.0431735047751598,469749.3250827202,0.0,0.7772179859518362,Medium,"(0.152, 0.229]",High,Behavioral Risk
237,119010,959896.04,240,12.63,10993.86,Personal,Agent,50,Female,Single,0,Bachelors,Employed,Finance,7,Salary,940990.49,74936.51,100,615,0.67,4,1,1,1,56,0.147,1.02,0.207,1,0,1,0,3772.95,0.0503479499118665,523817.5482306331,0.0,0.7562513644361751,Very High,"(0.152, 0.229]",High,Behavioral Risk
238,89038,1822849.81,84,6.24,26839.43,Education,Branch,41,Female,Married,0,Bachelors,Employed,Education,20,Salary,1656227.65,133256.57,100,770,0.13,1,0,0,2,0,0.201,1.101,0.238,0,0,1,0,5738.973076923076,0.0430667696921313,910777.3349776476,0.0,0.7213107056697075,Very High,"(0.229, 0.35]",High,Low Risk
239,92854,683556.52,240,8.43,5901.81,Car,Mobile App,36,Female,Married,1,High School,Self-Employed,Manufacturing,11,Business,1650796.1,139665.95,79,736,0.24,2,0,0,1,0,0.042,0.414,0.069,0,0,0,0,50767.8819047619,0.3634924504670711,613563.2216617673,0.7916666666666666,0.14837998315241147,High,"(0.013999999999999999, 0.152]",Low,Low Risk
240,20845,682564.08,24,13.84,32720.3,Car,Mobile App,57,Male,Married,1,Bachelors,Employed,Manufacturing,23,Salary,1405378.73,112245.03,100,544,0.44,3,1,1,2,81,0.292,0.486,0.349,1,0,0,1,40021.20565217392,0.3565489634882758,499669.3841486319,0.9166666666666666,0.13777049862338153,High,"(0.229, 0.35]",Low,Credit Risk
241,169060,532561.26,48,6.84,12713.35,Education,Agent,76,Male,Married,2,Masters,Employed,Retail,40,Salary,1091225.71,89370.92,100,780,0.1,1,0,0,3,0,0.142,0.488,0.214,0,0,0,0,26904.391428571427,0.3010385300950391,457700.5347996555,0.75,0.29459861064247894,High,"(0.152, 0.229]",Medium,Low Risk
242,47749,934063.1,72,8.27,16500.57,Car,Online,18,Female,Single,0,Bachelors,Self-Employed,IT,0,Business,2744330.4,228433.39,50,730,0.17,1,0,0,2,0,0.072,0.34,0.098,0,0,0,0,10725.505,0.0469522342936192,1495269.14868275,0.0,0.6607648678236322,Very High,"(0.013999999999999999, 0.152]",High,Low Risk
243,165363,243656.35,60,8.79,5033.11,Business,Online,47,Female,Married,3,Bachelors,Employed,Finance,13,Salary,885427.51,73018.68,100,727,0.35,2,0,0,1,0,0.069,0.275,0.114,0,0,0,0,18876.996363636365,0.2585192973132225,391777.99950826616,0.7916666666666666,0.32860994042720026,Low,"(0.013999999999999999, 0.152]",Medium,Low Risk
244,5371,156950.12,36,11.76,5195.02,Personal,Agent,23,Male,Married,1,Bachelors,Self-Employed,Manufacturing,0,Business,565690.67,45959.47,43,606,0.38,0,0,0,4,0,0.113,0.277,0.306,0,0,0,1,2816.6357142857146,0.0612838753451762,305067.4246150706,0.0,0.6839921256013873,Low,"(0.229, 0.35]",High,Low Risk
245,14459,216924.52,72,11.17,4147.87,Home,Agent,43,Female,Single,0,High School,Self-Employed,Finance,12,Business,596792.99,47402.97,81,618,0.52,4,1,1,1,26,0.088,0.363,0.156,1,0,0,1,1923.052307692308,0.0405673260634564,319696.012070862,0.0,0.7013711918094427,Low,"(0.152, 0.229]",High,Low Risk
246,54848,457828.72,24,9.21,20959.93,Business,Online,30,Male,Divorced,0,High School,Employed,IT,6,Salary,866038.71,70375.58,70,690,0.37,1,0,0,1,0,0.298,0.529,0.345,0,0,0,0,24250.057272727277,0.3445756709508656,333342.3493706959,0.875,0.20249827414615876,Medium,"(0.229, 0.35]",Low,Low Risk
247,131215,406817.86,48,11.79,10671.18,Education,Mobile App,38,Female,Married,3,Bachelors,Self-Employed,Retail,6,Business,661829.59,53004.21,72,563,0.31,3,0,2,3,0,0.201,0.615,0.33,1,0,0,0,15649.10894736842,0.2952371841818648,262500.4526055503,0.7083333333333334,0.26423717744775804,Medium,"(0.229, 0.35]",Medium,Credit Risk
248,93136,1652433.25,60,7.09,32790.37,Education,Mobile App,29,Female,Divorced,0,Bachelors,Self-Employed,Education,5,Business,1456564.54,118727.67,55,743,0.53,2,0,0,1,0,0.276,1.134,0.32,0,0,1,0,6668.759166666667,0.0561680608960469,828254.7331258574,0.0,0.7547513226966859,Very High,"(0.229, 0.35]",High,Behavioral Risk
249,88927,406080.52,120,8.01,4929.02,Business,Mobile App,53,Female,Married,1,Bachelors,Employed,Manufacturing,12,Salary,1026675.16,85504.82,93,708,0.26,2,0,0,1,0,0.058,0.396,0.094,0,0,0,0,35755.23142857143,0.4181613769515505,377424.5001061135,0.75,0.1739148358351045,Medium,"(0.013999999999999999, 0.152]",Low,Low Risk
250,151381,552073.55,84,9.51,9025.91,Business,Online,50,Female,Married,0,Bachelors,Employed,IT,14,Salary,1484227.43,118792.82,92,685,0.45,1,0,0,1,0,0.076,0.372,0.115,0,0,0,0,39708.376956521744,0.3342629857051633,545166.4910739094,0.9583333333333334,0.15428464663467503,High,"(0.013999999999999999, 0.152]",Low,Low Risk
251,108125,1423868.45,72,13.89,29256.06,Home,Mobile App,66,Male,Married,1,Bachelors,Employed,Manufacturing,23,Salary,2717323.79,218750.03,100,575,0.69,3,2,0,2,122,0.134,0.524,0.187,1,0,0,1,58182.57545454545,0.265976235424105,1132014.0129809491,0.8333333333333334,0.28285547467014344,Very High,"(0.152, 0.229]",Medium,Credit Risk
252,172478,896403.59,84,8.6,14241.0,Personal,Mobile App,54,Female,Married,0,Bachelors,Employed,Healthcare,3,Salary,1527527.77,125519.49,72,669,0.35,0,0,0,0,0,0.113,0.587,0.131,0,0,0,0,33766.89391304348,0.2690149943889119,668483.4530515248,0.875,0.3086450479593004,Very High,"(0.013999999999999999, 0.152]",Medium,Low Risk
253,59395,1430248.28,72,7.58,24784.6,Home,Branch,23,Female,Married,4,Masters,Self-Employed,Healthcare,2,Business,2198726.6,186875.68,63,739,0.26,1,0,0,1,0,0.133,0.65,0.156,0,0,0,0,73195.35363636364,0.3916773009685512,809913.4556668655,0.7916666666666666,0.14299727504745258,Very High,"(0.152, 0.229]",Low,Low Risk
254,2498,1696560.63,60,9.64,35747.12,Business,Mobile App,34,Female,Married,1,Masters,Self-Employed,IT,9,Business,703691.91,57452.07,64,622,0.31,0,0,0,1,0,0.622,2.411,0.673,1,0,1,0,13377.985652173911,0.2328506666775842,319045.6164462639,0.9166666666666666,0.34074234167348344,Very High,"(0.35, 2.5]",Medium,Financial Stress
255,80086,421648.97,60,9.6,8876.03,Business,Online,40,Male,Single,0,Bachelors,Employed,Retail,18,Salary,716280.24,58452.73,97,722,0.26,2,0,0,1,0,0.152,0.589,0.199,0,0,0,0,3173.339,0.054288049710429,401162.0851505908,0.0,0.730180259257145,Medium,"(0.152, 0.229]",High,Low Risk
256,64569,1666163.04,360,10.41,15129.05,Car,Mobile App,44,Female,Married,3,Masters,Self-Employed,Finance,22,Business,2235004.96,189881.15,89,640,0.49,1,0,0,1,0,0.08,0.745,0.115,0,0,0,0,46622.46238095238,0.2455336764459027,1066373.3088237692,0.875,0.3644594045607369,Very High,"(0.013999999999999999, 0.152]",Medium,Low Risk
257,118246,612492.01,48,6.13,14420.93,Education,Online,30,Female,Married,2,High School,Employed,Healthcare,0,Salary,1020612.75,84417.71,47,821,0.36,3,0,0,3,0,0.171,0.6,0.26,0,0,0,1,32853.62318181818,0.3891746649743661,420717.6761340673,0.8333333333333334,0.2736227667993062,High,"(0.229, 0.35]",Medium,Low Risk
258,21771,790327.12,360,7.45,5499.05,Personal,Mobile App,58,Female,Single,0,Bachelors,Employed,Services,7,Salary,1112406.77,92401.52,80,729,0.09,1,0,0,1,0,0.06,0.71,0.086,0,0,0,0,24828.4555,0.2686989002031546,513453.3030673696,0.7916666666666666,0.371953597054465,High,"(0.013999999999999999, 0.152]",Medium,Low Risk
259,87257,367558.99,120,10.53,4965.83,Car,Online,27,Male,Single,1,Bachelors,Employed,Finance,0,Salary,972295.09,82554.55,70,675,0.32,2,0,0,1,0,0.06,0.378,0.1,0,0,0,0,23196.01478260869,0.2809746259652887,423933.7838421725,0.7916666666666666,0.2853188888466483,Medium,"(0.013999999999999999, 0.152]",Medium,Low Risk
260,99085,371576.73,360,8.98,2984.44,Home,Mobile App,34,Female,Married,1,Masters,Employed,Construction,0,Salary,658150.29,53144.19,59,803,0.17,2,1,0,2,44,0.056,0.565,0.14,1,0,0,0,4535.101428571428,0.0853341841203583,368423.3824900517,0.0,0.7529121773022043,Medium,"(0.013999999999999999, 0.152]",High,Behavioral Risk
261,136605,269507.84,36,7.94,8437.94,Home,Mobile App,18,Female,Single,0,High School,Employed,Healthcare,0,Salary,515094.13,42159.11,60,752,0.28,5,1,0,1,38,0.2,0.523,0.262,1,0,0,0,10522.51761904762,0.2495846813266763,226431.897714604,0.7083333333333334,0.34167020928305686,Low,"(0.229, 0.35]",Medium,Low Risk
262,4037,207235.3,60,6.19,4024.77,Car,Online,44,Male,Single,2,Bachelors,Employed,IT,21,Salary,624141.36,52649.46,95,804,0.91,2,0,1,2,0,0.076,0.332,0.198,0,0,0,0,1859.1608333333331,0.0353113882259211,381649.8613558581,0.0,0.8074958785764494,Low,"(0.152, 0.229]",High,Behavioral Risk
263,174817,46689.21,84,13.58,864.16,Car,Online,60,Male,Single,0,High School,Unemployed,Unemployed,0,No Income,170248.63,13659.8,44,514,0.4,0,0,2,2,0,0.063,0.274,0.376,1,1,0,0,4785.55052631579,0.3503126117296052,67221.0721225645,0.625,0.28577301844626873,Low,"(0.35, 2.5]",Medium,Credit Risk
264,58085,139230.17,60,13.72,3219.47,Home,Mobile App,35,Male,Divorced,0,High School,Employed,Construction,13,Salary,359382.15,30315.64,94,592,0.35,2,1,0,2,56,0.106,0.387,0.256,1,0,0,1,11699.610454545456,0.3859138233836419,134589.7268240161,0.7083333333333334,0.17819127602226328,Low,"(0.229, 0.35]",Low,Low Risk
265,151792,2382335.4,84,8.43,37644.01,Business,Online,72,Female,Married,0,Masters,Employed,Education,19,Salary,2495990.06,211901.19,100,699,0.3,3,0,0,2,0,0.178,0.954,0.212,0,0,0,0,92490.93476190476,0.436479371741768,870991.3889807937,0.875,0.0926345824250246,Very High,"(0.152, 0.229]",Low,Low Risk
266,167582,415043.82,48,8.82,10292.95,Personal,Branch,23,Female,Married,2,Bachelors,Self-Employed,Education,2,Business,918462.96,73819.68,45,657,0.18,0,0,0,3,0,0.139,0.452,0.23,0,0,0,1,25203.836842105266,0.3414197328188424,344884.34698193404,0.6666666666666666,0.22341979362199127,Medium,"(0.229, 0.35]",Low,Low Risk
267,24132,943045.82,24,10.65,43800.24,Personal,Mobile App,49,Female,Married,1,Bachelors,Self-Employed,Finance,25,Freelance,1119943.44,89939.51,93,637,0.49,2,0,2,1,0,0.487,0.842,0.534,0,0,0,0,4390.619333333334,0.0488169272481703,616843.6746386369,0.0,0.7278137731242315,Very High,"(0.35, 2.5]",High,Low Risk
268,177022,179804.06,24,17.95,8972.21,Medical,Branch,49,Female,Widowed,1,High School,Unemployed,Unemployed,0,No Income,190620.37,15634.03,41,544,0.4,6,3,1,3,138,0.574,0.943,0.978,1,1,0,1,5970.140909090909,0.3818439049423576,71096.34838804795,0.7916666666666666,0.18590624943622747,Low,"(0.35, 2.5]",Low,Credit Risk
269,49023,96285.42,60,7.11,1911.57,Home,Online,33,Female,Single,0,High School,Employed,Services,12,Salary,317177.47,26139.05,87,760,0.11,3,0,0,3,0,0.073,0.304,0.308,0,0,0,0,9527.819130434782,0.3644912358788442,125807.49826672507,0.9583333333333334,0.209633092464696,Low,"(0.229, 0.35]",Low,Low Risk
270,105842,1313654.2,48,6.72,31286.71,Home,Online,73,Female,Married,1,High School,Self-Employed,Manufacturing,26,Freelance,1692876.95,139840.01,99,799,0.64,0,0,0,1,0,0.224,0.776,0.27,0,0,0,0,54763.818636363634,0.3916148677441877,599250.5951284522,0.8333333333333334,0.12550873123505402,Very High,"(0.229, 0.35]",Low,Low Risk
271,41745,207988.5,24,7.23,9333.88,Personal,Online,48,Female,Divorced,0,Bachelors,Unemployed,Unemployed,0,No Income,225826.08,18501.09,39,749,0.67,3,0,0,0,0,0.505,0.921,0.538,0,1,0,0,681.9912499999999,0.0368602276823861,132984.67412069047,0.0,0.7948597212750281,Low,"(0.35, 2.5]",High,Behavioral Risk
272,162411,541347.95,24,6.34,24075.89,Home,Mobile App,34,Male,Single,1,Masters,Employed,Construction,6,Salary,1817234.67,145610.64,87,833,0.3,1,0,0,2,0,0.165,0.298,0.208,0,0,0,0,6601.1275,0.0453337899360243,983888.9907726616,0.0,0.7053281966225112,High,"(0.152, 0.229]",High,Low Risk
273,65299,1530861.68,60,6.89,30233.51,Personal,Mobile App,27,Female,Married,1,High School,Employed,Retail,6,Salary,838952.98,69431.74,63,747,0.07,0,0,0,2,0,0.435,1.825,0.497,0,0,1,1,2908.2690909090907,0.0418861345657551,450073.7648898471,0.0,0.6459328114965711,Very High,"(0.35, 2.5]",Medium,High Exposure
274,161280,943657.11,240,6.95,7287.87,Business,Mobile App,46,Female,Married,0,Bachelors,Employed,Services,23,Salary,1772633.11,145836.35,100,786,0.15,0,0,0,1,0,0.05,0.532,0.071,0,0,0,0,7388.894,0.0506653062469936,1017158.8184296056,0.0,0.7530431035949172,Very High,"(0.013999999999999999, 0.152]",High,Behavioral Risk
275,51725,256534.01,24,9.74,11806.98,Home,Online,33,Female,Single,0,High School,Employed,IT,4,Salary,950145.28,75571.29,70,654,0.63,2,0,0,2,0,0.156,0.27,0.241,0,0,0,0,23855.19571428572,0.3156606173279349,388762.783447061,0.75,0.3032219989713502,Low,"(0.229, 0.35]",Medium,Low Risk
276,122371,1552836.53,84,10.66,26311.56,Home,Branch,45,Female,Divorced,0,High School,Self-Employed,Finance,6,Business,1852145.97,150133.02,70,660,0.64,2,0,0,3,0,0.175,0.838,0.247,0,0,0,1,7760.442,0.0516900966216717,1024603.823102008,0.0,0.7213594557378107,Very High,"(0.229, 0.35]",High,Low Risk
277,2403,1314499.96,60,7.46,26314.9,Car,Online,31,Male,Married,2,Bachelors,Self-Employed,Services,9,Freelance,770692.01,62739.84,75,730,0.21,0,0,0,0,0,0.419,1.706,0.43,0,0,1,0,3380.7955555555554,0.0538850859433115,396138.443106548,0.0,0.6131664972641867,Very High,"(0.35, 2.5]",Medium,High Exposure
278,20944,321105.02,120,7.96,3889.11,Car,Mobile App,22,Female,Married,2,High School,Employed,Retail,0,Salary,770784.43,63440.74,48,765,0.89,1,0,0,2,0,0.061,0.417,0.169,0,0,0,0,2382.715,0.0375575291598244,446845.7290623656,0.0,0.7643425235550735,Medium,"(0.152, 0.229]",High,Behavioral Risk
279,170139,687397.21,24,10.73,31952.0,Home,Online,32,Male,Married,1,Bachelors,Self-Employed,Finance,0,Freelance,1384969.75,110256.28,63,628,0.21,2,0,1,2,0,0.29,0.496,0.337,0,0,0,0,42164.89,0.3824227298188383,473402.5742473017,0.8333333333333334,0.12494632612551604,High,"(0.229, 0.35]",Low,Low Risk
280,51472,463211.64,72,9.89,8555.71,Car,Mobile App,37,Male,Married,0,Bachelors,Employed,Construction,7,Salary,871072.48,73993.43,77,687,0.15,1,1,0,2,20,0.116,0.532,0.177,1,0,0,1,3169.907142857143,0.0428398075754775,517135.090503278,0.0,0.7540729686985849,Medium,"(0.152, 0.229]",High,Behavioral Risk
281,74018,289108.46,240,12.57,3298.96,Home,Mobile App,32,Male,Married,0,Bachelors,Self-Employed,Construction,2,Business,926384.45,75992.71,46,522,0.58,0,0,0,0,0,0.043,0.312,0.072,1,0,0,0,21793.99347826087,0.2867868074642081,397951.6240941456,0.7916666666666666,0.3084193147993865,Low,"(0.013999999999999999, 0.152]",Medium,Credit Risk
282,67792,259956.99,60,8.33,5312.14,Home,Online,40,Female,Single,1,Bachelors,Employed,Construction,11,Salary,703434.23,57402.6,100,722,0.44,1,0,0,1,0,0.093,0.37,0.149,0,0,0,0,21718.682,0.3783505215700757,259944.38030612812,0.75,0.1880905861798174,Low,"(0.013999999999999999, 0.152]",Low,Low Risk
283,164914,305087.1,48,8.33,7495.42,Home,Online,24,Female,Single,0,High School,Employed,Manufacturing,0,Salary,606418.54,48148.12,57,769,0.37,0,0,0,1,0,0.156,0.503,0.216,0,0,0,0,17484.103636363634,0.3631240536974223,224042.92478395483,0.75,0.21076295908881953,Medium,"(0.152, 0.229]",Low,Low Risk
284,126496,277514.76,48,7.99,6773.64,Car,Mobile App,27,Female,Married,2,High School,Self-Employed,Services,5,Business,389716.66,30979.56,66,719,0.52,2,0,0,0,0,0.219,0.712,0.245,0,0,0,0,13861.31,0.4474196076507332,148928.64470383947,0.7083333333333334,0.27220806242208684,Low,"(0.229, 0.35]",Medium,Low Risk
285,20549,496054.69,84,6.11,7272.83,Home,Agent,36,Male,Married,2,High School,Employed,Finance,11,Salary,939595.94,76023.56,79,806,0.72,2,0,0,0,0,0.096,0.528,0.132,0,0,0,0,4704.058333333333,0.0618755088267966,548182.8705988033,0.0,0.8061612019689097,Medium,"(0.013999999999999999, 0.152]",High,Behavioral Risk
286,66183,1447281.88,36,5.82,43911.18,Business,Agent,27,Female,Single,0,Masters,Employed,IT,5,Salary,1342396.32,113249.03,68,826,0.33,1,0,0,0,0,0.388,1.078,0.404,0,0,1,0,5132.3893333333335,0.0453190991060517,781406.4509034621,0.0,0.7357534869952348,Very High,"(0.35, 2.5]",High,Low Risk
287,95628,422440.63,24,9.8,19454.52,Car,Branch,33,Male,Single,0,Bachelors,Employed,Retail,8,Salary,609538.47,51598.58,73,661,0.7,3,0,0,2,0,0.377,0.693,0.49,0,0,0,0,15685.77590909091,0.3039903795552388,269805.66456632066,0.7916666666666666,0.31115350880119297,Medium,"(0.35, 2.5]",Medium,Low Risk
288,76063,261033.26,60,6.3,5083.0,Home,Online,46,Male,Married,0,High School,Employed,Services,1,Salary,706688.11,56552.62,58,797,0.18,3,0,0,2,0,0.09,0.369,0.17,0,0,0,0,22003.4,0.3890714688113686,265245.60701053875,0.75,0.22528442988284708,Low,"(0.152, 0.229]",Low,Low Risk
289,56832,531423.62,360,6.35,3306.71,Business,Agent,26,Male,Married,1,Bachelors,Employed,Finance,5,Salary,1227992.91,101600.64,62,824,0.36,3,0,0,0,0,0.033,0.433,0.051,0,0,0,0,6113.449090909091,0.0601707717602697,684768.7620507659,0.0,0.7054573399443308,High,"(0.013999999999999999, 0.152]",High,Low Risk
290,17271,338236.13,12,10.14,29758.36,Car,Online,23,Male,Married,1,High School,Employed,Finance,0,Salary,1119078.88,92199.86,39,699,0.26,2,1,0,0,45,0.323,0.302,0.336,1,0,0,0,24280.204782608693,0.2633403287410626,470069.3332118125,0.875,0.2587765581595158,Medium,"(0.229, 0.35]",Medium,Low Risk
291,141696,236249.74,120,5.49,2562.76,Home,Branch,52,Female,Married,1,Bachelors,Self-Employed,Construction,30,Business,462011.95,37612.03,98,805,0.44,1,0,0,2,0,0.068,0.511,0.196,0,0,0,0,15612.084545454543,0.4150711746821393,160561.08539481103,0.7916666666666666,0.13509459263316087,Low,"(0.152, 0.229]",Low,Low Risk
292,66172,1270312.59,360,7.08,8519.78,Business,Mobile App,41,Male,Single,0,Bachelors,Employed,Retail,1,Salary,1015528.3,80713.84,60,748,0.22,1,0,0,0,0,0.106,1.251,0.117,0,0,1,0,3657.866666666667,0.0453183908518763,529805.4079771058,0.0,0.6642205946432829,Very High,"(0.013999999999999999, 0.152]",High,High Exposure
293,91413,81626.86,360,10.74,761.36,Personal,Online,34,Female,Married,0,Bachelors,Employed,Construction,5,Salary,364699.03,30572.72,78,655,0.53,1,0,0,0,0,0.025,0.224,0.051,0,0,0,0,1511.914,0.0494514242951135,201505.90101366263,0.0,0.6710060133738532,Low,"(0.013999999999999999, 0.152]",High,Low Risk
294,132083,186485.93,48,6.75,4444.04,Business,Branch,37,Female,Divorced,0,Bachelors,Employed,IT,0,Salary,520548.78,42704.75,63,794,0.31,0,0,0,2,0,0.104,0.358,0.213,0,0,0,0,15719.815454545454,0.3680959930347893,192732.1847102456,0.8333333333333334,0.16800775732795095,Low,"(0.152, 0.229]",Low,Low Risk
295,110988,395080.64,60,14.62,9320.32,Home,Branch,27,Female,Widowed,0,Bachelors,Self-Employed,Education,0,Business,791142.41,64618.86,41,584,0.67,5,3,0,2,195,0.144,0.499,0.24,1,0,0,1,19232.70434782609,0.2976283815505958,324289.0317660858,0.8333333333333334,0.2576206677372075,Medium,"(0.229, 0.35]",Medium,Low Risk
296,147071,845452.1,72,8.12,14873.1,Personal,Online,28,Male,Single,0,Bachelors,Self-Employed,Healthcare,3,Freelance,973014.98,78756.21,52,708,0.58,1,0,0,0,0,0.189,0.869,0.218,0,0,0,0,19049.31272727273,0.2418738897336856,420135.6729034869,0.8333333333333334,0.3106978296710196,High,"(0.152, 0.229]",Medium,Low Risk
297,113064,63593.05,48,16.77,1827.42,Home,Branch,42,Female,Married,2,High School,Unemployed,Unemployed,0,No Income,119711.83,10000.0,58,567,0.58,3,3,0,1,216,0.183,0.531,0.412,1,1,0,1,3563.6245000000004,0.3563268173182682,48108.79687444838,0.7916666666666666,0.23542287947867624,Low,"(0.35, 2.5]",Low,Credit Risk
298,38812,363812.29,36,9.57,11665.89,Personal,Online,27,Male,Married,1,Bachelors,Employed,Services,3,Salary,681157.36,55029.05,52,704,0.43,2,0,0,0,0,0.212,0.534,0.233,0,0,0,0,2845.918461538461,0.0517157164410801,363959.9132585693,0.0,0.6764864142048808,Medium,"(0.229, 0.35]",High,Low Risk
299,93915,1944936.82,48,6.13,45792.91,Home,Branch,42,Male,Married,2,Masters,Self-Employed,Services,20,Business,2738868.3,220388.38,96,820,0.58,1,0,0,0,0,0.208,0.71,0.237,0,0,0,0,8230.72,0.0373462641439437,1467818.1914495688,0.0,0.6826683213433641,Very High,"(0.229, 0.35]",High,Low Risk
300,2060,302577.84,360,8.24,2271.04,Personal,Agent,40,Female,Married,2,High School,Unemployed,Unemployed,0,No Income,189646.35,15313.42,45,716,0.37,2,0,0,1,0,0.148,1.595,0.297,0,1,1,0,621.2600000000001,0.0405669950282152,102502.92251075796,0.0,0.6905432887428044,Medium,"(0.229, 0.35]",High,High Exposure
301,176623,179037.11,72,11.18,3424.34,Personal,Mobile App,32,Male,Divorced,0,Bachelors,Self-Employed,Retail,3,Business,498289.39,40833.7,58,654,0.18,1,0,0,0,0,0.084,0.359,0.093,0,0,0,0,2129.9190000000003,0.0521595358849214,279676.6764505561,0.0,0.7266754994605835,Low,"(0.013999999999999999, 0.152]",High,Low Risk
302,10279,360348.68,72,6.13,5994.16,Business,Agent,39,Male,Married,0,Bachelors,Employed,Manufacturing,4,Salary,606255.74,48371.69,74,789,0.27,2,0,0,0,0,0.124,0.594,0.137,0,0,0,0,1756.14,0.0363043692629043,339540.4295860427,0.0,0.7588809139257925,Medium,"(0.013999999999999999, 0.152]",High,Behavioral Risk
303,114430,406681.03,36,7.03,12562.71,Home,Branch,62,Male,Divorced,0,High School,Employed,Education,39,Salary,1244792.13,100305.57,100,742,0.19,2,0,0,1,0,0.125,0.327,0.155,0,0,0,0,38507.30761904762,0.3838961657152429,485038.0655825363,0.7916666666666666,0.24782506880691396,Medium,"(0.152, 0.229]",Low,Low Risk
304,85953,1151025.44,48,6.99,27557.4,Business,Online,36,Female,Married,0,Bachelors,Self-Employed,Manufacturing,7,Business,582485.55,46883.11,63,799,0.5,2,0,0,2,0,0.588,1.976,0.698,1,0,1,1,15605.859090909087,0.332860303648914,225890.99541661795,0.7083333333333334,0.24525669246633577,Very High,"(0.35, 2.5]",Low,High Exposure
305,97824,764849.67,60,9.13,15925.32,Personal,Mobile App,44,Male,Single,0,Bachelors,Employed,Retail,15,Salary,1157224.18,97270.32,96,661,0.51,0,0,0,1,0,0.164,0.661,0.21,0,0,0,0,26800.186818181817,0.2755199252789189,525315.2551419865,0.8333333333333334,0.33333890551235107,High,"(0.152, 0.229]",Medium,Low Risk
306,33938,280889.09,240,13.86,3464.39,Personal,Agent,29,Female,Divorced,0,High School,Self-Employed,Manufacturing,1,Business,570321.56,46114.41,56,590,0.67,3,2,0,0,150,0.075,0.493,0.109,1,0,0,0,12579.09818181818,0.2727742891544969,223557.6511441697,0.7083333333333334,0.2362302128006366,Low,"(0.013999999999999999, 0.152]",Low,Low Risk
307,153903,1687748.41,36,7.99,52880.12,Car,Agent,40,Male,Married,0,High School,Employed,IT,11,Salary,1681383.08,142535.18,100,761,0.75,1,0,0,3,0,0.371,1.004,0.451,0,0,1,0,35189.09545454545,0.2468783396225818,802815.6876646341,0.8333333333333334,0.3753913808859281,Very High,"(0.35, 2.5]",Medium,Low Risk
308,30143,149589.44,48,12.69,3990.13,Personal,Mobile App,35,Female,Married,3,PhD,Unemployed,Unemployed,0,No Income,320820.79,26491.03,43,545,0.5,1,0,0,2,0,0.151,0.466,0.327,1,0,0,0,1603.0,0.060508764334028,183523.75945342696,0.0,0.7455280693454519,Low,"(0.229, 0.35]",High,Credit Risk
309,72720,414713.79,36,10.25,13430.38,Home,Agent,24,Male,Single,0,Masters,Employed,Retail,1,Salary,1104262.15,87740.73,52,628,0.7,2,0,3,1,0,0.153,0.376,0.211,0,0,0,0,4147.346666666667,0.0472676646182684,588041.2431755845,0.0,0.6941139715006343,Medium,"(0.152, 0.229]",High,Low Risk
